investment_id,evolution_driver,delay_explanation,project_url
62,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/25
614,Rescheduled,Slight delay in the project development.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/26
70,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
1503,Rescheduled,posteponed,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
624,Rescheduled,The commissioning date has been been updated to be consistent with the new plan of activities,https://tyndp-data.netlify.app/tyndp2018/projects/projects/28
635,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/29
642,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/31
90,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/33
1041,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/33
311,Investment on time,The construction of the substation is underway,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
315,Investment on time,The project is udergoing permit grant process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
313,Delayed,Delay due to the permit grant procedure and amendment of the respective legal framework,https://tyndp-data.netlify.app/tyndp2018/projects/projects/35
141,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/36
142,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/37
144,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/39
650,Rescheduled,An increase of transfer capacity across the BE-LU-DE corridor is envisioned towards the 2030-2040 time horizon.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/40
219,Rescheduled,Tests and gaining of experience for novel technical solution in progress.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/47
689,Delayed,Scope of the project changed due to technical reasons.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/47
696,Delayed,"The commissioning date was changed to 2020, as the ivestment is tied to the cross-border invetment (R. Sobota-Sajóivánka).",https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
697,Delayed,"The commissioning date was changed to 2020, as the ivestment is tied to the cross-border invetment (R. Sobota-Sajóivánka).",https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1500,Delayed,"The approval of the Contract for Construction of PCI No 3.16.1. and PCI No 3.17 between the project promoters MAVIR and SEPS was delayed compared to the initial schedule. The approval and signing fo the Contract caused two years delay in the commissioning of the overhead lines. The Contract was signed on March 1st, 2017 and sets a new commissioning date of end 2020. MAVIR and SEPS do not foresee any additional delay in commissioning.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1501,Delayed,"The approval of the Contract for Construction of PCI No 3.16.1. and PCI No 3.17 between the project promoters MAVIR and SEPS was delayed compared to the initial schedule. The approval and signing fo the Contract caused two years delay in the commissioning of the overhead lines. The Contract was signed on March 1st, 2017 and sets a new commissioning date of end 2020. MAVIR and SEPS do not foresee any additional delay in commissioning.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/48
1062,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
386,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
735,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/62
427,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/71
449,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
450,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
443,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/74
752,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/75
452,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/77
458,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/78
462,Delayed,Investment delayed due to judicial reviews of planning consent in IE and delayed approval of planning consent in NI.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/81
897,Rescheduled,A capacity review of committed generators and upcoming new connection policy rules will impact on renewable generation totals that drive the date of need for this investment.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
896,Rescheduled,A capacity review of committed generators and upcoming new connection policy rules will impact on renewable generation totals that drive the date of need for this investment.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
463,Rescheduled,A capacity review of committed generators and upcoming new connection policy rules will impact on renewable generation totals that drive the date of need for this investment.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/82
779,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/85
780,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/85
146,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/92
796,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
1492,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
1493,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
139,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/94
801,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/96
1490,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1560,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1488,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1540,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
1539,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/103
810,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/107
424,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/110
396,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/111
145,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/113
1625,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/120
934,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/121
373,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/123
733,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/124
385,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/124
403,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/126
96,Delayed,permitting procedure,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
86,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
645,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/127
665,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/130
661,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/132
680,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
176,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/134
188,Rescheduled,increased construction complexity,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
179,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/135
715,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays related to acquisition of and access to land.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
800,Rescheduled,Having dificulities with acquiring the land,https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
275,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays related to acquisition of and access to land.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
273,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays related to acquisition of and access to land.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/138
258,Rescheduled,Having dificulities with acquiring the land,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
257,Rescheduled,Having dificulities with acquiring the land,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
262,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
256,Rescheduled,Having dificulities with acquiring the land,https://tyndp-data.netlify.app/tyndp2018/projects/projects/142
238,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays in construction works.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
269,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays related to acquisition of and access to land.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
701,Delayed,The works contract regarding 400 kV Resita substation was canceled at the request of the legal administrator of the executor -in insolvency. Transelectrica analyzes different options to continue and complete the works.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
705,Delayed,Delays due to correlation with other delayed infrastructure investment.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
270,Delayed,"National law changes affecting permitting, including complexities with the implementation of the new legislation implementing Regulation (EU) 347/2013 for permitting.Delays due to correlation with other delayed infrastructure investment.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/144
616,Delayed,permitting procedure,https://tyndp-data.netlify.app/tyndp2018/projects/projects/150
987,Investment on time,possible risk of delay due to uncertainty of regulatory decisions,https://tyndp-data.netlify.app/tyndp2018/projects/projects/153
149,Ahead of time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
157,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
685,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
677,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/164
998,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/167
1118,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1567,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1568,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1569,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1571,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1572,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1566,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1656,Delayed,This project is scenario dependent.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1565,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1633,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1660,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1564,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1570,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1632,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1635,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1659,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
382,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1004,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1661,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1663,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1665,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1012,Investment on time,Final decision for certain construction time will be made in May 2018.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1634,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1664,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1662,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1034,New Investment,depends from ongoing studies,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1667,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1668,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1669,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1013,Investment on time,Final decision for certain construction time will be made in May 2018.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1010,Investment on time,Final decision for certain construction time will be made in May 2018.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1011,Investment on time,Final decision for certain construction time will be made in May 2018.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1487,Investment on time,In 2016 the project experienced material delays beyond reasonable control as reported to the Commission and the commercial operations date was readjusted. Project is currently on schedule.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/172
1281,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/173
1014,Delayed,A different location of the Converter Station in Switzerland is under evaluation due to local opposition. A rerouting of the final part of the Interconnector is under evaluation as well.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/174
1000,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/175
995,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/176
1016,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/179
1018,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/183
886,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/186
997,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/187
1382,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/190
952,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
953,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
656,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
1513,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/191
659,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/192
954,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/192
927,Delayed,The delay of this investment is affected by the explanation in the investment 538.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/193
561,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/194
929,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/194
742,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/197
306,Rescheduled,"Due to the delay of the needed connection line Vitkov-Vernerov or Vitkov-Prestice, the timeschedule has to be aligned with the timeschedule of the line Vitkov-Prestice",https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
309,Delayed,Delay due to the permit grant procedure and amendment of the respective legal framework,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
308,Delayed,Delay due to the permit grant procedure and amendment of the respective legal framework,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
312,Rescheduled,The construction of phase one is completed. The second phase of construction (extention for the purpose of connection of new line) has to be aligned with the timeschedule of line Kocin-Mirovka,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
314,Delayed,Delay due to the permit grant procedure and amendment of the respective legal framework,https://tyndp-data.netlify.app/tyndp2018/projects/projects/200
538,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/203
687,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
990,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
688,Delayed,Delay due to long permitting,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
682,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/206
676,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
939,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
940,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/207
150,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
151,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
156,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/208
935,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/209
1380,Delayed,PERMITTING - Delays due to environmental problems (including re-routing),https://tyndp-data.netlify.app/tyndp2018/projects/projects/210
1082,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/214
1409,Rescheduled,"The National Regulatory Authorities of Greece and Cyprus approved the submitted Investment Request for the Project and agreed on the CBCA between them. The decision ""Cross-Border Cost Allocation Between the Hellenic Regulatory Authority for Energy (RAE) and the Cyprus Energy Regulatory Authority (CERA)"" provided on 10th of October 2017 concerned the implementation of PCIs 3.10.2 & 3.10.3. With the corresponding decision for PCI 3.10.1 not yet received, and to avoid delays in the implementation of the Project and to be in line with the obligations and commitments arising from the CBCA approval, the Project Promoter decided to amend the order of implementation of the three PCIs consisting PCI 3.10 as follows, with PCIs 3.10.2 & 3.10.3 implemented concurrently: PCI 3.10.3 Interconnection between Korakia, Crete and Attica region(EL) PCI 3.10.2 Interconnection between Kofinou (CY) and Korakia, Crete (EL) PCI 3.10.1 Interconnection between Hadera (IL) and Kofinou (CY)",https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
1407,Rescheduled,"The National Regulatory Authorities of Greece and Cyprus approved the submitted Investment Request for the Project and agreed on the CBCA between them. The decision ""Cross-Border Cost Allocation Between the Hellenic Regulatory Authority for Energy (RAE) and the Cyprus Energy Regulatory Authority (CERA)"" provided on 10th of October 2017 concerned the implementation of PCIs 3.10.2 & 3.10.3. With the corresponding decision for PCI 3.10.1 not yet received, and to avoid delays in the implementation of the Project and to be in line with the obligations and commitments arising from the CBCA approval, the Project Promoter decided to amend the order of implementation of the three PCIs consisting PCI 3.10 as follows, with PCIs 3.10.2 & 3.10.3 implemented concurrently: PCI 3.10.3 Interconnection between Korakia, Crete and Attica region(EL) PCI 3.10.2 Interconnection between Kofinou (CY) and Korakia, Crete (EL) PCI 3.10.1 Interconnection between Hadera (IL) and Kofinou (CY)",https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
1410,Rescheduled,"The National Regulatory Authorities of Greece and Cyprus approved the submitted Investment Request for the Project and agreed on the CBCA between them. The decision ""Cross-Border Cost Allocation Between the Hellenic Regulatory Authority for Energy (RAE) and the Cyprus Energy Regulatory Authority (CERA)"" provided on 10th of October 2017 concerned the implementation of PCIs 3.10.2 & 3.10.3. With the corresponding decision for PCI 3.10.1 not yet received, and to avoid delays in the implementation of the Project and to be in line with the obligations and commitments arising from the CBCA approval, the Project Promoter decided to amend the order of implementation of the three PCIs consisting PCI 3.10 as follows, with PCIs 3.10.2 & 3.10.3 implemented concurrently: PCI 3.10.3 Interconnection between Korakia, Crete and Attica region(EL) PCI 3.10.2 Interconnection between Kofinou (CY) and Korakia, Crete (EL) PCI 3.10.1 Interconnection between Hadera (IL) and Kofinou (CY)",https://tyndp-data.netlify.app/tyndp2018/projects/projects/219
1107,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/225
631,Delayed,"Due to phasing of the project HVDC ME-IT cable and its infuluence on project Transbalkan corridor, there is a need for a new Study with economic and financial CBA analyses.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1528,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
627,Delayed,"Due to phasing of the project HVDC ME-IT cable and its infuluence on project Transbalkan corridor, there is a need for a new Study with economic and financial CBA analyses.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1526,Delayed,Due to the delay of B. Basta - Obrenovac and B. Basta - Pljevlja investments,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
630,Delayed,"Due to phasing of the project HVDC ME-IT cable and its infuluence on project Transbalkan corridor, there is a need for a new Study with economic and financial CBA analyses.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1527,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
628,Delayed,"Due to phasing of the project HVDC ME-IT cable and its infuluence on project Transbalkan corridor, there is a need for a new Study with economic and financial CBA analyses.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/227
1231,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/228
1274,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1273,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1272,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1270,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1271,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1275,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/229
1035,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
353,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
355,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
1232,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/230
1282,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/231
1457,,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/231
1235,Delayed,"National Development Plan does not contain yet a solution for the second phase of projects 1011 and 1019, which compete with each other.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/233
1236,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/234
664,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/235
608,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/236
1241,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/239
1460,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/240
1531,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1278,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1530,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1276,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1277,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
1279,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/241
194,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/242
1269,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/243
1245,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/244
1514,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/244
1246,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/245
1381,Delayed,"The project programme was delayed comparing to the initial application for TYNDP 2016 due to two main factors. Firstly, the studies performed in conjunction with National Grid in order to determine a connection location in the UK, which commenced at the time of the application for TYNDP 2016, took longer time than expected. The studies were successfully completed in the late 2015. Secondly, two connection points were initially suggested in France - Le Havre and Barnabos. Further studies were required to determine the point of connection with the least impact on the national transmission system and greater feasibility of implementation. As an outcome, AQUIND accepted the PTF from RTE in respect of Barnabos substation. The project promoter commenced the studies with National Grid and RTE approximately at the same time as applying for TYNDP 2016 and at that stage such circumstances were not foreseeable.",https://tyndp-data.netlify.app/tyndp2018/projects/projects/247
1248,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1627,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1613,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/248
1384,Delayed,The permitting phase in Italy is ongoing since April 2014 but we are still facing some challenges regarding Environmental impact of the 380/132kV Substation Terna in Mese. Commissioning expected in 2021.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/250
147,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/251
148,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/251
1050,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1456,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1515,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1517,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1516,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/252
1224,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/253
1225,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/253
660,Rescheduled,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/254
1251,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/255
1455,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/255
1252,New Investment,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/256
1529,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/256
667,Delayed,Delay due to long permitting process,https://tyndp-data.netlify.app/tyndp2018/projects/projects/258
1205,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/259
1255,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/260
1257,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/262
1258,Rescheduled,"under consideration, commissioning year 2035",https://tyndp-data.netlify.app/tyndp2018/projects/projects/263
1583,Rescheduled,"under consideration, commissioning year 2035",https://tyndp-data.netlify.app/tyndp2018/projects/projects/263
1259,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1288,Delayed,preliminary clarifications,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1287,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1284,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/264
1290,Delayed,reschedule,https://tyndp-data.netlify.app/tyndp2018/projects/projects/265
1261,Delayed,permitting procedure,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1285,Delayed,reschedule,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1286,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/266
1262,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/267
